GROUP,IPAddress,IP_COUNTRY,IP_STATE,IPC_DISEASE_death,IPS_DISEASE,IPC_COVID,IPS_COVID,Participant_Sex,Age,Income,Ethnicity,Ethnicity_Other,BORN_COUNTRY,BC_DISEASE,BORN_STATE,BS_DISEASE,GROW_COUNTRY,GC_DISEASE,GROW_STATE,GS_DISEASE,RESIDE_COUNTRY,RC_DISEASE,RESIDE_STATE,RS_DISEASE,Employed,Independent_support,weekly_income,weekly_fhelp,weekly_expenses,weekly_goodlife,LRB1,LRB2,LRB3,LRB4,LRB5,LRB6,LRB7,LRB8,LRB9,LRB10,LRB11,LRB12,General_Health,INF_PREV_COMM,INF_PREV_FAM,INF_PREV_JOB,ATT_1,MacLadd1,MacLadd2,BarImp1,BarImp2,BarImp3,BarImp4,BarImp5,BarImp6,BarImp7,BarImp8,Risk1,Risk2,Risk3,Risk4,Risk5,Risk6,Risk7,Risk8,Risk9,Risk10,Risk11,Risk12,Risk13,Risk14,Risk15,Risk16,Risk17,Risk18,Risk19,Risk20,Risk21,Risk22,Risk23,Risk24,Risk25,Risk26,Risk27,Risk28,Risk29,Risk30,Risk31,Risk32,Risk33,Risk34,ATC1,ATC2,ATC3,ATC4,ATC5,ATC6,ATC7,ATC8,ATC9,Imm1,Imm2,Imm3,Imm4,Imm5,Imm6,Imm7,Imm8,Imm9,ATT_2,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,TDDS1,TDDS2,TDDS3,TDDS4,TDDS5,TDDS6,TDDS7,TDDS8,TDDS9,TDDS10,TDDS11,TDDS12,TDDS13,TDDS14,TDDS15,TDDS16,TDDS17,TDDS18,TDDS19,TDDS20,TDDS21,ATT_3_A,PVD1,PVD2,PVD3,PVD4,PVD5,PVD6,PVD7,PVD8,PVD9,PVD10,PVD11,PVD12,PVD13,PVD14,PVD15,ATT_3,COR_PVD1,COR_PVD2,COR_PVD3,COR_PVD4,COR_PVD5,COR_PVD6,COR_PVD7,COR_PVD8,COR_PVD9,COR_PVD10,COR_PVD11,COR_PVD12,COR_PVD13,COR_PVD14,COR_PVD15,CORexp1,CORexp2,CORexp3,CORexp4,CORexp9,CORexp10,CORexp11,CORexp12,CORexp13,CORexp14,CORexp15,CORexp16,CORexp17,CORexp18,CORexp19,CORexp20,CORexp21,CORexp22,CORexp23,CORexp24,CORexp25,CORexp26,CORexp27,CORexp28,CORexp29,CORexp30,CORexp31,mTurkCode,cov_intx,GENHEALTH,SOIR6rc,SOIBEHAVIOR,SOIATTITUDE,SOIDESIRE,SOITOTAL,PVD3rc,PVD5rc,PVD11rc,PVD12rc,PVD13rc,PVD14rc,INFECTIABILITY_MEAN,GERM_AVERSION_MEAN,TOTAL_PVD,SEX_DISGUST,MORAL_DISGUST,PATH_DISGUST,TOTAL_INF,SEX,RC,US_RESIDE_COUNTRY,IN_RESIDE_COUNTRY,BR_RESIDE_COUNTRY,IT_RESIDE_COUNTRY,INUS,Density_km,filter_$,sexd_sex,pathd_sex,morald_sex
1,155.41.120.224,United States of America, ,36.9668162, , , ,Male,19, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,4,5,3,4,6,4,3,2,6,6,1,6,5,1,4,6,4,6,6,1,4,6,3,6,6,3,5, ,5,2,5,7,3,1,4,1,3,2,6,2,6,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,7,3,5.333333333,4.666666667,4.333333333,3,5,2,6,2,6,3.285714286,3.875,3.580357143,2.142857143,5.428571429,5.285714286, ,1,4,1,0,0,0,0, ,0,2.142857143,5.285714286,5.428571429
1,155.41.120.224,United States of America, ,36.9668162, , , ,Male,22, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,2,8,8,9,2,7,6,6,1,4,5,6,0,3,5,0,2,6,4,4,2,1,4,2,3,2,5,1,4, ,2,2,2,6,3,4,2,2,1,2,2,3,3,2,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,8,5,8.333333333,6.333333333,6.555555556,6,5,6,5,5,6,3.714285714,4,3.857142857,1.857142857,3.857142857,3.428571429, ,1,4,1,0,0,0,0, ,0,1.857142857,3.428571429,3.857142857
1,155.41.16.233,United States of America, ,36.9668162, , , ,Male,21, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3,5,5,5,5,5,5,5,0,0,0,0,1,5,1,1,5,4,4,5,6,4,4,3,1,1,0,1, ,6,2,2,6,6,2,1,2,2,2,1,1,2,2,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,5,2.666666667,5,5,4.222222222,6,2,7,7,6,6,3.285714286,4.875,4.080357143,2,3.571428571,1.714285714, ,1,4,1,0,0,0,0, ,0,2,1.714285714,3.571428571
1,155.41.23.176,United States of America, ,36.9668162, , , ,Male,28, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Excellent, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,8,6,1,9,8,9,6,2,6,6,0,0,5,0,2,6,1,6,6,0,4,5,2,6,4,1,4, ,3,3,1,6,5,4,1,3,3,3,2,5,2,3,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,9,9,7.666666667,8.666666667,8.444444444,7,3,6,3,6,5,3.428571429,4.25,3.839285714,.857142857,5.428571429,4, ,1,4,1,0,0,0,0, ,0,.857142857,4,5.428571429
1,155.41.23.176,United States of America, ,36.9668162, , , ,Male,19, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Very good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,9,9,6,6,2,7,7,6,5,4,6,6,2,6,6,1,5,6,6,6,6,1,4,6,6,3,6,5,6, ,7,5,7,7,5,1,3,3,7,3,5,4,6,5,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,8.666666667,6.666666667,6.666666667,7.333333333,1,3,3,4,2,3,3.142857143,4.625,3.883928571,3.571428571,5.857142857,5.142857143, ,1,4,1,0,0,0,0, ,0,3.571428571,5.142857143,5.857142857
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,20, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Excellent, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,6,7,6,3,5,5,2,3,6,6,0,6,5,0,2,6,0,5,6,3,6,6,1,6,6,1,6, ,6,2,2,7,2,2,5,1,2,2,7,6,7,6,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,4,1.333333333,5.666666667,4.333333333,3.777777778,6,6,1,2,1,2,2.428571429,4,3.214285714,1.142857143,5.285714286,5.285714286, ,1,4,1,0,0,0,0, ,0,1.142857143,5.285714286,5.285714286
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,20, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Very good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,4,4,3,3,2,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0, ,2,2,1,2,6,2,2,2,2,2,6,6,1,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,1,5,2,2.666666667,7,2,2,2,7,4,2.285714286,3.5,2.892857143,0,1,.142857143, ,1,4,1,0,0,0,0, ,0,0,.142857143,1
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,19, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Excellent, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,1,1,9,7,5,2,6,2,6,6,0,2,6,0,3,6,1,6,6,1,2,4,6,3,6,1,6, ,1,2,2,5,4,1,1,1,1,1,1,2,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1,1.666666667,1,4.666666667,2.444444444,6,4,7,6,7,6,3,3.625,3.3125,1.571428571,5.714285714,4, ,1,4,1,0,0,0,0, ,0,1.571428571,4,5.714285714
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,22, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Fair, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,9,9,1,9,7,6,1,1,3,6,0,5,1,0,5,5,3,3,1,0,5,6,6,6,4,0,4, ,2,2,2,2,4,1,2,2,2,5,4,2,3,3,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,9,3,9,7.333333333,6.444444444,6,4,4,6,5,5,3.571428571,3.625,3.598214286,1.428571429,3.428571429,4.428571429, ,1,4,1,0,0,0,0, ,0,1.428571429,4.428571429,3.428571429
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,24, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Very good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,7,8,7,1,8,8,5,2,4,3,5,1,4,1,0,4,4,4,3,4,1,4,3,2,4,4,1,2, ,6,4,2,4,4,2,2,2,3,2,3,5,4,5,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,4,8,7,6.333333333,6,4,5,3,4,3,2.857142857,4,3.428571429,1.857142857,3.285714286,3.428571429, ,1,4,1,0,0,0,0, ,0,1.857142857,3.428571429,3.285714286
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,21, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Excellent, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,7,5,3,4,1,2,4,3,5,6,0,0,6,2,0,6,3,5,6,1,4,4,3,4,6,0,0, ,7,1,3,1,3,1,1,1,1,1,1,3,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,1.333333333,6.333333333,2.333333333,3.333333333,5,5,7,5,7,7,3,3.75,3.375,1.714285714,5.428571429,2.571428571, ,1,4,1,0,0,0,0, ,0,1.714285714,2.571428571,5.428571429
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,21, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Very good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,2,3,8,8,3,7,7,7,5,3,6,0,1,3,6,1,3,6,1,6,5,1,5,5,2,5,6,4,4, ,6,4,4,7,5,4,4,5,5,5,3,5,5,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,2.666666667,7.666666667,7,5.777777778,4,3,5,3,3,4,4,4.625,4.3125,1.857142857,4.714285714,4.571428571, ,1,4,1,0,0,0,0, ,0,1.857142857,4.571428571,4.714285714
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,28, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Very good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,5,6,4,6,5,5,4,1,4,5,1,3,6,3,4,5,3,4,5,0,3,4,4,3,3,1,3, ,5,4,5,6,4,3,3,3,2,2,5,4,5,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1,5.666666667,5.333333333,4,3,4,3,4,3,5,3.571428571,3.5,3.535714286,1.857142857,4.571428571,3.428571429, ,1,4,1,0,0,0,0, ,0,1.857142857,3.428571429,4.571428571
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,22, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Excellent, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,8,8,2,5,8,8,6,0,1,6,0,2,2,0,0,6,0,2,6,0,4,6,4,0,6,0,2, ,5,1,1,1,2,1,1,1,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,8,3,8,7,6,7,6,7,6,6,7,3.285714286,3.625,3.455357143,.571428571,5.428571429,1.571428571, ,1,4,1,0,0,0,0, ,0,.571428571,1.571428571,5.428571429
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,22, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Very good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,1,8,2,1,1,0,0,3,0,0,2,0,0,6,5,0,1,6,2,6,0,0,6,6,2,1, ,6,1,1,4,7,1,1,1,2,1,1,2,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1.666666667,1.333333333,1.333333333,1.444444444,7,1,7,6,6,6,2.428571429,4.25,3.339285714,.571428571,2.428571429,3.571428571, ,1,4,1,0,0,0,0, ,0,.571428571,3.571428571,2.428571429
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,22, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Very good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,1,1,4,3,1,1,0,0,5,0,0,0,0,0,6,5,0,2,6,3,6,0,0,6,0,3,1, ,5,2,1,4,4,4,1,7,1,1,1,2,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,1.666666667,2.666666667,1.666666667,2,7,4,7,6,6,7,4.428571429,4,4.214285714,.857142857,1.571428571,3.714285714, ,1,4,1,0,0,0,0, ,0,.857142857,3.714285714,1.571428571
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,26, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,7,7,9,9,1,8,4,7,1,1,6,6,0,4,4,0,4,3,3,1,3,0,5,4,6,4,4,6,6, ,2,5,2,6,6,5,3,5,5,5,2,6,6,5,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,9,5.333333333,9,6.333333333,6.888888889,6,2,6,2,2,3,3.857142857,4.125,3.991071429,2.285714286,3.571428571,4.285714286, ,1,4,1,0,0,0,0, ,0,2.285714286,4.285714286,3.571428571
1,155.41.23.56,United States of America, ,36.9668162, , , ,Male,22, , , , , , , , , , , ,United States of America,36.9668162, , , , , , , , , , , , , , , , , , , , ,Good, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,4,4,6,4,4,3,2,5,5,6,1,4,2,0,2,5,0,6,5,1,4,5,2,3,3,6,6, ,6,3,6,2,3,3,4,2,2,2,2,2,5,3,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,4,1,4,3.666666667,2.888888889,2,5,6,6,3,5,3.714285714,3.75,3.732142857,2.142857143,4,4.285714286, ,1,4,1,0,0,0,0, ,0,2.142857143,4.285714286,4
